City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,utrik,11.2278,169.8474,28.53,80,75,8.53,MH,1689885402
161,hermanus,-34.4187,19.2345,9.89,79,0,3.73,ZA,1689885403
162,altai,46.3722,96.2583,17.55,27,56,1.86,MN,1689885137
163,torghay,49.6339,63.4981,20.57,65,53,3.36,KZ,1689885215
164,richmond,37.5538,-77.4603,34.11,54,75,3.6,US,1689885385
165,fale old settlement,-9.3852,-171.2468,27.89,79,26,5.31,TK,1689885113
166,usinsk,65.9939,57.5281,17.51,82,51,3.45,RU,1689885220
167,wainwright,52.839,-110.8572,25.3,41,5,3.63,CA,1689885263
168,wanning,18.8003,110.3967,27.15,90,100,2.92,CN,1689885188
169,khilok,51.3674,110.4676,9.59,64,15,1.25,RU,1689885404
170,skeldon,5.8833,-57.1333,27.73,75,47,3.52,GY,1689885404
171,riohacha,11.5444,-72.9072,37.06,41,0,8.23,CO,1689885139
172,rochester,43.1548,-77.6156,30.52,55,40,3.09,US,1689885110
173,aykhal,66.0,111.5,13.94,89,100,5.92,RU,1689885404
174,hwange,-18.3693,26.5019,16.35,34,4,0.61,ZW,1689885404
175,cruzeiro do sul,-29.5128,-51.9853,19.73,92,100,1.57,BR,1689885176
176,bilovods'k,49.2085,39.5897,19.26,75,99,3.54,UA,1689885405
177,pacific grove,36.6177,-121.9166,25.68,85,75,4.92,US,1689885267
178,west bay,19.3667,-81.4167,32.25,79,75,6.17,KY,1689885405
179,klyuchi,52.2667,79.1667,20.72,58,55,2.5,RU,1689884828
180,visby,57.6409,18.296,16.57,77,100,4.63,SE,1689885405
181,gorgan,36.8387,54.4348,23.98,83,40,3.09,IR,1689885149
182,zabaykal'sk,49.6333,117.3167,16.71,50,100,0.73,RU,1689885405
183,tukrah,32.5341,20.5791,26.99,79,0,2.4,LY,1689885406
184,palmeira,-25.4294,-50.0064,13.06,90,100,2.45,BR,1689885406
185,sarangani,5.4033,125.4636,28.43,73,29,4.81,PH,1689885406
186,bratsk,56.1325,101.6142,14.27,70,0,1.54,RU,1689885406
187,hirara,24.8,125.2833,26.15,89,40,1.54,JP,1689885174
188,kirakira,-10.4544,161.9205,26.71,86,100,1.76,SB,1689885406
189,korla,41.7597,86.1469,31.21,25,67,5.26,CN,1689885406
190,prince rupert,54.3161,-130.3201,17.05,89,0,2.57,CA,1689884773
191,doctor arroyo,23.6667,-100.1833,30.35,19,43,4.09,MX,1689885407
192,jiayuguan,39.8167,98.3,21.13,34,18,2.21,CN,1689885407
193,khorixas,-20.3667,14.9667,14.11,47,0,1.49,,1689885407
194,longyearbyen,78.2186,15.6401,11.91,71,20,10.29,SJ,1689885407
195,waddan,29.1614,16.139,30.81,32,0,6.12,LY,1689885407
196,weno,7.4515,151.8468,27.97,89,100,2.06,FM,1689885407
197,rio grande,-32.035,-52.0986,16.06,93,100,4.41,BR,1689885407
198,iranshahr,27.2025,60.6848,36.19,46,99,7.2,IR,1689885407
199,pariaman,-0.619,100.12,24.03,88,100,1.49,ID,1689885407
200,north bend,43.4065,-124.2243,22.18,72,100,4.12,US,1689884783
201,vilyuysk,63.7553,121.6247,16.13,82,7,2.05,RU,1689885407
202,tolanaro,-25.0319,46.9987,20.04,94,40,2.06,MG,1689885407
203,sisimiut,66.9395,-53.6735,9.09,97,100,1.02,GL,1689885408
204,vuktyl,63.8567,57.3094,15.74,96,90,2.39,RU,1689885408
205,lisala,2.15,21.5167,23.67,72,7,0.64,CD,1689885408
206,aral,40.5156,81.2636,29.56,25,20,4.31,CN,1689885408
207,chibougamau,49.9168,-74.3659,19.79,64,100,1.67,CA,1689885112
208,trikala,39.5553,21.7675,29.18,37,0,1.69,GR,1689885408
209,upanema,-5.6419,-37.2578,27.78,53,30,11.03,BR,1689885408
210,sayat,38.7839,63.8803,25.93,21,0,4.64,TM,1689885408
211,bamboo flat,11.7,92.7167,26.05,94,100,0.51,IN,1689885408
212,zemio,5.0314,25.1361,21.11,95,99,1.6,CF,1689885408
213,reggane,26.7158,0.1714,38.28,7,0,6.02,DZ,1689885409
214,kudahuvadhoo,2.6708,72.8944,28.33,73,98,3.27,MV,1689885414
215,shahr-e kord,32.3256,50.8644,23.87,19,0,1.03,IR,1689885414
216,paradip garh,20.3167,86.6167,27.97,87,98,2.0,IN,1689885414
217,peniche,39.3558,-9.3811,20.04,89,0,5.29,PT,1689885414
218,luwuk,-0.9516,122.7875,24.5,86,30,2.17,ID,1689885414
219,revuca,48.6835,20.1173,15.48,73,16,2.4,SK,1689885414
220,ishinomaki,38.4167,141.3,20.21,88,18,1.7,JP,1689885295
221,charef,34.621,2.795,30.98,16,68,5.04,DZ,1689885414
222,papao,-17.75,-149.55,25.82,64,29,7.76,PF,1689885414
223,chonchi,-42.6128,-73.8092,12.29,80,48,4.19,CL,1689885414
224,ahfir,34.9537,-2.1003,31.34,35,4,1.57,MA,1689885415
225,visakhapatnam,17.69,83.2093,25.7,92,100,5.62,IN,1689884960
226,greenland,43.0362,-70.8328,30.47,62,20,4.63,US,1689885415
227,port lincoln,-34.7333,135.8667,10.91,71,35,3.07,AU,1689885415
228,guarapari,-20.6667,-40.4975,21.05,85,100,3.67,BR,1689885176
229,benguela,-12.5763,13.4055,19.1,84,44,1.05,AO,1689885213
230,port elizabeth,-33.918,25.5701,12.16,58,75,5.66,ZA,1689885128
231,grand falls-windsor,48.9332,-55.6649,25.28,76,100,3.76,CA,1689885415
232,charleston,32.7766,-79.9309,36.1,66,0,5.66,US,1689885415
233,suva,-18.1416,178.4415,22.71,94,100,3.09,FJ,1689885415
234,madan,41.5,24.95,18.79,83,0,2.29,BG,1689885415
235,east ballina,-28.8667,153.5833,9.89,56,0,4.01,AU,1689885416
236,opuwo,-18.0607,13.84,14.49,32,0,2.35,,1689885416
237,papatowai,-46.5619,169.4708,5.43,71,8,8.54,NZ,1689885416
238,kodiak,57.79,-152.4072,11.73,100,0,2.57,US,1689885416
239,hobyo,5.3505,48.5268,25.42,82,97,12.6,SO,1689885416
240,st. john's,47.5649,-52.7093,27.66,61,40,7.2,CA,1689885416
241,thompson,55.7435,-97.8558,26.09,34,75,3.6,CA,1689885416
242,mae hong son,19.3003,97.9685,23.87,99,100,0.57,TH,1689885416
243,bridgewater,44.3835,-64.5155,24.5,83,100,4.63,CA,1689885416
244,marathon,44.9,-89.7668,22.87,66,75,5.66,US,1689885416
245,khash,28.2211,61.2158,28.24,21,100,1.51,IR,1689885416
246,kerikeri,-35.2268,173.9474,10.76,93,22,1.23,NZ,1689885416
247,karlskrona,56.1616,15.5866,14.25,81,54,5.9,SE,1689885417
248,krasnoshchekovo,51.6708,82.7289,15.69,87,5,2.09,RU,1689885417
249,dzuunharaa,48.8523,106.4579,14.43,78,77,1.05,MN,1689885417
250,el fasher,13.6279,25.3494,30.86,34,77,3.97,SD,1689885417
251,labrador city,52.9463,-66.9114,16.95,67,100,2.57,CA,1689885417
252,beloyarskiy,63.7119,66.6722,16.85,82,36,1.59,RU,1689885417
253,aasiaat,68.7098,-52.8699,4.57,95,97,5.0,GL,1689885417
254,nadym,65.5333,72.5167,20.36,66,82,3.74,RU,1689885417
255,kennett,36.2362,-90.0556,31.1,72,0,1.34,US,1689885417
256,nishinoomote,30.7333,131.0,26.87,82,100,2.67,JP,1689885417
